id,provider_id,payment_measure_name,payment_measure_id,payment_category,payment,n_score,value_of_care_display_name,value_of_care_display_id,value_of_care_category,,,
167,340090,Payment for hip/knee replacement patients,PAYM_90_HIP_KNEE,Greater than the National Average Payment,25960,0.88,Value of Care hip/knee replacement measure,COMP_PAYM_90_HIP_KNEE,Average complications and higher payment,,,
168,340090,Payment for pneumonia patients,PAYM_30_PN,No Different than the National Average Payment,17804,0.74,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Average mortality and average payment,,,
169,340091,Payment for heart attack patients,PAYM_30_AMI,Less than the National Average Payment,19980,0.13,Value of Care Heart Attack measure,MORT_PAYM_30_AMI,Average mortality and lower payment,,,
170,340091,Payment for heart failure patients,PAYM_30_HF,Less than the National Average Payment,15362,0.63,Value of Care Heart Failure measure,MORT_PAYM_30_HF,Average mortality and lower payment,,,
171,340091,Payment for hip/knee replacement patients,PAYM_90_HIP_KNEE,Less than the National Average Payment,21431,0.34,Value of Care hip/knee replacement measure,COMP_PAYM_90_HIP_KNEE,Better complications and lower payment,,,
172,340091,Payment for pneumonia patients,PAYM_30_PN,Less than the National Average Payment,16081,0.47,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Average mortality and lower payment,,,
174,340096,Payment for heart failure patients,PAYM_30_HF,No Different than the National Average Payment,14966,0.54,Value of Care Heart Failure measure,MORT_PAYM_30_HF,Average mortality and average payment,,,
175,340096,Payment for hip/knee replacement patients,PAYM_90_HIP_KNEE,No Different than the National Average Payment,23540,0.59,Value of Care hip/knee replacement measure,COMP_PAYM_90_HIP_KNEE,Average complications and average payment,,,
176,340096,Payment for pneumonia patients,PAYM_30_PN,No Different than the National Average Payment,16118,0.48,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Average mortality and average payment,,,
177,340097,Payment for heart attack patients,PAYM_30_AMI,No Different than the National Average Payment,22335,0.54,Value of Care Heart Attack measure,MORT_PAYM_30_AMI,Average mortality and average payment,,,
178,340097,Payment for heart failure patients,PAYM_30_HF,No Different than the National Average Payment,15577,0.68,Value of Care Heart Failure measure,MORT_PAYM_30_HF,Average mortality and average payment,,,
179,340097,Payment for hip/knee replacement patients,PAYM_90_HIP_KNEE,No Different than the National Average Payment,22494,0.46,Value of Care hip/knee replacement measure,COMP_PAYM_90_HIP_KNEE,Average complications and average payment,,,
180,340097,Payment for pneumonia patients,PAYM_30_PN,No Different than the National Average Payment,16669,0.56,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Average mortality and average payment,,,
181,340098,Payment for heart attack patients,PAYM_30_AMI,Less than the National Average Payment,19767,0.09,Value of Care Heart Attack measure,MORT_PAYM_30_AMI,Average mortality and lower payment,,,
182,340098,Payment for heart failure patients,PAYM_30_HF,No Different than the National Average Payment,15477,0.65,Value of Care Heart Failure measure,MORT_PAYM_30_HF,Average mortality and average payment,,,
183,340098,Payment for hip/knee replacement patients,PAYM_90_HIP_KNEE,Greater than the National Average Payment,23186,0.55,Value of Care hip/knee replacement measure,COMP_PAYM_90_HIP_KNEE,Average complications and higher payment,,,
184,340098,Payment for pneumonia patients,PAYM_30_PN,No Different than the National Average Payment,17075,0.62,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Average mortality and average payment,,,
185,340099,Payment for heart attack patients,PAYM_30_AMI,No Different than the National Average Payment,23464,0.74,Value of Care Heart Attack measure,MORT_PAYM_30_AMI,Average mortality and average payment,,,
186,340099,Payment for heart failure patients,PAYM_30_HF,No Different than the National Average Payment,15244,0.6,Value of Care Heart Failure measure,MORT_PAYM_30_HF,Average mortality and average payment,,,
187,340099,Payment for hip/knee replacement patients,PAYM_90_HIP_KNEE,No Different than the National Average Payment,21455,0.34,Value of Care hip/knee replacement measure,COMP_PAYM_90_HIP_KNEE,Average complications and average payment,,,
188,340099,Payment for pneumonia patients,PAYM_30_PN,No Different than the National Average Payment,17174,0.64,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Average mortality and average payment,,,
190,340106,Payment for heart failure patients,PAYM_30_HF,Less than the National Average Payment,13927,0.3,Value of Care Heart Failure measure,MORT_PAYM_30_HF,Average mortality and lower payment,,,
192,340106,Payment for pneumonia patients,PAYM_30_PN,Less than the National Average Payment,14155,0.18,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Average mortality and lower payment,,,
193,340107,Payment for heart attack patients,PAYM_30_AMI,No Different than the National Average Payment,24176,0.86,Value of Care Heart Attack measure,MORT_PAYM_30_AMI,Average mortality and average payment,,,
194,340107,Payment for heart failure patients,PAYM_30_HF,No Different than the National Average Payment,16384,0.86,Value of Care Heart Failure measure,MORT_PAYM_30_HF,Average mortality and average payment,,,
195,340107,Payment for hip/knee replacement patients,PAYM_90_HIP_KNEE,Greater than the National Average Payment,25594,0.83,Value of Care hip/knee replacement measure,COMP_PAYM_90_HIP_KNEE,Average complications and higher payment,,,
196,340107,Payment for pneumonia patients,PAYM_30_PN,No Different than the National Average Payment,17307,0.66,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Average mortality and average payment,,,
197,340109,Payment for heart attack patients,PAYM_30_AMI,No Different than the National Average Payment,22398,0.55,Value of Care Heart Attack measure,MORT_PAYM_30_AMI,Average mortality and average payment,,,
198,340109,Payment for heart failure patients,PAYM_30_HF,No Different than the National Average Payment,16510,0.89,Value of Care Heart Failure measure,MORT_PAYM_30_HF,Average mortality and average payment,,,
199,340109,Payment for hip/knee replacement patients,PAYM_90_HIP_KNEE,No Different than the National Average Payment,22532,0.47,Value of Care hip/knee replacement measure,COMP_PAYM_90_HIP_KNEE,Average complications and average payment,,,
200,340109,Payment for pneumonia patients,PAYM_30_PN,No Different than the National Average Payment,16966,0.61,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Worse mortality and average payment,,,
201,340113,Payment for heart attack patients,PAYM_30_AMI,No Different than the National Average Payment,21863,0.46,Value of Care Heart Attack measure,MORT_PAYM_30_AMI,Average mortality and average payment,,,
202,340113,Payment for heart failure patients,PAYM_30_HF,No Different than the National Average Payment,15441,0.65,Value of Care Heart Failure measure,MORT_PAYM_30_HF,Average mortality and average payment,,,
203,340113,Payment for hip/knee replacement patients,PAYM_90_HIP_KNEE,Less than the National Average Payment,19880,0.15,Value of Care hip/knee replacement measure,COMP_PAYM_90_HIP_KNEE,Average complications and lower payment,,,
204,340113,Payment for pneumonia patients,PAYM_30_PN,No Different than the National Average Payment,16562,0.54,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Average mortality and average payment,,,
205,340114,Payment for heart attack patients,PAYM_30_AMI,Less than the National Average Payment,20608,0.24,Value of Care Heart Attack measure,MORT_PAYM_30_AMI,Average mortality and lower payment,,,
206,340114,Payment for heart failure patients,PAYM_30_HF,No Different than the National Average Payment,15637,0.69,Value of Care Heart Failure measure,MORT_PAYM_30_HF,Average mortality and average payment,,,
207,340114,Payment for hip/knee replacement patients,PAYM_90_HIP_KNEE,Less than the National Average Payment,20284,0.2,Value of Care hip/knee replacement measure,COMP_PAYM_90_HIP_KNEE,Better complications and lower payment,,,
208,340114,Payment for pneumonia patients,PAYM_30_PN,No Different than the National Average Payment,17162,0.64,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Worse mortality and average payment,,,
209,340115,Payment for heart attack patients,PAYM_30_AMI,Less than the National Average Payment,19310,0.01,Value of Care Heart Attack measure,MORT_PAYM_30_AMI,Average mortality and lower payment,,,
210,340115,Payment for heart failure patients,PAYM_30_HF,Less than the National Average Payment,15370,0.63,Value of Care Heart Failure measure,MORT_PAYM_30_HF,Average mortality and lower payment,,,
211,340115,Payment for hip/knee replacement patients,PAYM_90_HIP_KNEE,Less than the National Average Payment,20439,0.22,Value of Care hip/knee replacement measure,COMP_PAYM_90_HIP_KNEE,Average complications and lower payment,,,
212,340115,Payment for pneumonia patients,PAYM_30_PN,Less than the National Average Payment,15098,0.32,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Better mortality and lower payment,,,
213,340116,Payment for heart attack patients,PAYM_30_AMI,No Different than the National Average Payment,22399,0.55,Value of Care Heart Attack measure,MORT_PAYM_30_AMI,Average mortality and average payment,,,
214,340116,Payment for heart failure patients,PAYM_30_HF,No Different than the National Average Payment,15308,0.62,Value of Care Heart Failure measure,MORT_PAYM_30_HF,Average mortality and average payment,,,
215,340116,Payment for hip/knee replacement patients,PAYM_90_HIP_KNEE,Less than the National Average Payment,21687,0.37,Value of Care hip/knee replacement measure,COMP_PAYM_90_HIP_KNEE,Average complications and lower payment,,,
216,340116,Payment for pneumonia patients,PAYM_30_PN,Less than the National Average Payment,16091,0.47,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Worse mortality and lower payment,,,
217,340119,Payment for heart attack patients,PAYM_30_AMI,No Different than the National Average Payment,23544,0.75,Value of Care Heart Attack measure,MORT_PAYM_30_AMI,Average mortality and average payment,,,
218,340119,Payment for heart failure patients,PAYM_30_HF,No Different than the National Average Payment,16173,0.82,Value of Care Heart Failure measure,MORT_PAYM_30_HF,Average mortality and average payment,,,
219,340119,Payment for hip/knee replacement patients,PAYM_90_HIP_KNEE,Less than the National Average Payment,19822,0.15,Value of Care hip/knee replacement measure,COMP_PAYM_90_HIP_KNEE,Average complications and lower payment,,,
220,340119,Payment for pneumonia patients,PAYM_30_PN,No Different than the National Average Payment,17567,0.7,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Worse mortality and average payment,,,
221,340120,Payment for heart attack patients,PAYM_30_AMI,No Different than the National Average Payment,23622,0.77,Value of Care Heart Attack measure,MORT_PAYM_30_AMI,Average mortality and average payment,,,
222,340120,Payment for heart failure patients,PAYM_30_HF,Less than the National Average Payment,13220,0.14,Value of Care Heart Failure measure,MORT_PAYM_30_HF,Average mortality and lower payment,,,
224,340120,Payment for pneumonia patients,PAYM_30_PN,No Different than the National Average Payment,16430,0.52,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Average mortality and average payment,,,
225,340123,Payment for heart attack patients,PAYM_30_AMI,No Different than the National Average Payment,23619,0.77,Value of Care Heart Attack measure,MORT_PAYM_30_AMI,Average mortality and average payment,,,
226,340123,Payment for heart failure patients,PAYM_30_HF,No Different than the National Average Payment,15815,0.73,Value of Care Heart Failure measure,MORT_PAYM_30_HF,Average mortality and average payment,,,
227,340123,Payment for hip/knee replacement patients,PAYM_90_HIP_KNEE,No Different than the National Average Payment,21386,0.33,Value of Care hip/knee replacement measure,COMP_PAYM_90_HIP_KNEE,Average complications and average payment,,,
228,340123,Payment for pneumonia patients,PAYM_30_PN,Greater than the National Average Payment,18413,0.83,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Average mortality and higher payment,,,
229,340126,Payment for heart attack patients,PAYM_30_AMI,No Different than the National Average Payment,22813,0.62,Value of Care Heart Attack measure,MORT_PAYM_30_AMI,Average mortality and average payment,,,
230,340126,Payment for heart failure patients,PAYM_30_HF,No Different than the National Average Payment,15388,0.63,Value of Care Heart Failure measure,MORT_PAYM_30_HF,Average mortality and average payment,,,
231,340126,Payment for hip/knee replacement patients,PAYM_90_HIP_KNEE,No Different than the National Average Payment,23255,0.55,Value of Care hip/knee replacement measure,COMP_PAYM_90_HIP_KNEE,Average complications and average payment,,,
232,340126,Payment for pneumonia patients,PAYM_30_PN,No Different than the National Average Payment,17781,0.73,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Worse mortality and average payment,,,
233,340127,Payment for heart attack patients,PAYM_30_AMI,No Different than the National Average Payment,21136,0.33,Value of Care Heart Attack measure,MORT_PAYM_30_AMI,Average mortality and average payment,,,
234,340127,Payment for heart failure patients,PAYM_30_HF,No Different than the National Average Payment,14829,0.51,Value of Care Heart Failure measure,MORT_PAYM_30_HF,Average mortality and average payment,,,
235,340127,Payment for hip/knee replacement patients,PAYM_90_HIP_KNEE,Greater than the National Average Payment,25023,0.76,Value of Care hip/knee replacement measure,COMP_PAYM_90_HIP_KNEE,Worse complications and higher payment,,,
236,340127,Payment for pneumonia patients,PAYM_30_PN,No Different than the National Average Payment,15858,0.44,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Average mortality and average payment,,,
237,340129,Payment for heart attack patients,PAYM_30_AMI,No Different than the National Average Payment,22009,0.48,Value of Care Heart Attack measure,MORT_PAYM_30_AMI,Average mortality and average payment,,,
238,340129,Payment for heart failure patients,PAYM_30_HF,No Different than the National Average Payment,15945,0.76,Value of Care Heart Failure measure,MORT_PAYM_30_HF,Average mortality and average payment,,,
239,340129,Payment for hip/knee replacement patients,PAYM_90_HIP_KNEE,Less than the National Average Payment,20508,0.23,Value of Care hip/knee replacement measure,COMP_PAYM_90_HIP_KNEE,Average complications and lower payment,,,
240,340129,Payment for pneumonia patients,PAYM_30_PN,Greater than the National Average Payment,19474,0.99,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Worse mortality and higher payment,,,
241,340130,Payment for heart attack patients,PAYM_30_AMI,No Different than the National Average Payment,22085,0.5,Value of Care Heart Attack measure,MORT_PAYM_30_AMI,Average mortality and average payment,,,
242,340130,Payment for heart failure patients,PAYM_30_HF,No Different than the National Average Payment,16090,0.8,Value of Care Heart Failure measure,MORT_PAYM_30_HF,Average mortality and average payment,,,
243,340130,Payment for hip/knee replacement patients,PAYM_90_HIP_KNEE,Greater than the National Average Payment,24395,0.69,Value of Care hip/knee replacement measure,COMP_PAYM_90_HIP_KNEE,Worse complications and higher payment,,,
244,340130,Payment for pneumonia patients,PAYM_30_PN,No Different than the National Average Payment,17569,0.7,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Average mortality and average payment,,,
245,340131,Payment for heart attack patients,PAYM_30_AMI,No Different than the National Average Payment,22062,0.49,Value of Care Heart Attack measure,MORT_PAYM_30_AMI,Average mortality and average payment,,,
246,340131,Payment for heart failure patients,PAYM_30_HF,Less than the National Average Payment,14812,0.5,Value of Care Heart Failure measure,MORT_PAYM_30_HF,Average mortality and lower payment,,,
247,340131,Payment for hip/knee replacement patients,PAYM_90_HIP_KNEE,Less than the National Average Payment,20324,0.21,Value of Care hip/knee replacement measure,COMP_PAYM_90_HIP_KNEE,Average complications and lower payment,,,
248,340131,Payment for pneumonia patients,PAYM_30_PN,Less than the National Average Payment,15220,0.34,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Average mortality and lower payment,,,
249,340132,Payment for heart attack patients,PAYM_30_AMI,No Different than the National Average Payment,23718,0.78,Value of Care Heart Attack measure,MORT_PAYM_30_AMI,Average mortality and average payment,,,
250,340132,Payment for heart failure patients,PAYM_30_HF,Less than the National Average Payment,14478,0.43,Value of Care Heart Failure measure,MORT_PAYM_30_HF,Average mortality and lower payment,,,
252,340132,Payment for pneumonia patients,PAYM_30_PN,No Different than the National Average Payment,16237,0.5,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Average mortality and average payment,,,
254,340133,Payment for heart failure patients,PAYM_30_HF,No Different than the National Average Payment,14859,0.51,Value of Care Heart Failure measure,MORT_PAYM_30_HF,Average mortality and average payment,,,
255,340133,Payment for hip/knee replacement patients,PAYM_90_HIP_KNEE,No Different than the National Average Payment,20872,0.27,Value of Care hip/knee replacement measure,COMP_PAYM_90_HIP_KNEE,Average complications and average payment,,,
256,340133,Payment for pneumonia patients,PAYM_30_PN,No Different than the National Average Payment,16504,0.54,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Worse mortality and average payment,,,
257,340141,Payment for heart attack patients,PAYM_30_AMI,No Different than the National Average Payment,22952,0.65,Value of Care Heart Attack measure,MORT_PAYM_30_AMI,Average mortality and average payment,,,
258,340141,Payment for heart failure patients,PAYM_30_HF,No Different than the National Average Payment,16368,0.86,Value of Care Heart Failure measure,MORT_PAYM_30_HF,Worse mortality and average payment,,,
259,340141,Payment for hip/knee replacement patients,PAYM_90_HIP_KNEE,Less than the National Average Payment,20212,0.19,Value of Care hip/knee replacement measure,COMP_PAYM_90_HIP_KNEE,Average complications and lower payment,,,"$24,957 "
260,340141,Payment for pneumonia patients,PAYM_30_PN,No Different than the National Average Payment,17305,0.66,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Worse mortality and average payment,,,
261,340142,Payment for heart attack patients,PAYM_30_AMI,No Different than the National Average Payment,23037,0.66,Value of Care Heart Attack measure,MORT_PAYM_30_AMI,Average mortality and average payment,,,"$19,248 "
262,340142,Payment for heart failure patients,PAYM_30_HF,Less than the National Average Payment,14831,0.51,Value of Care Heart Failure measure,MORT_PAYM_30_HF,Average mortality and lower payment,,,"$5,709 "
263,340142,Payment for hip/knee replacement patients,PAYM_90_HIP_KNEE,Less than the National Average Payment,20553,0.23,Value of Care hip/knee replacement measure,COMP_PAYM_90_HIP_KNEE,Average complications and lower payment,,,
264,340142,Payment for pneumonia patients,PAYM_30_PN,No Different than the National Average Payment,16515,0.54,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Average mortality and average payment,,,
265,340143,Payment for heart attack patients,PAYM_30_AMI,No Different than the National Average Payment,23155,0.68,Value of Care Heart Attack measure,MORT_PAYM_30_AMI,Average mortality and average payment,,,
266,340143,Payment for heart failure patients,PAYM_30_HF,No Different than the National Average Payment,16249,0.83,Value of Care Heart Failure measure,MORT_PAYM_30_HF,Worse mortality and average payment,,,
267,340143,Payment for hip/knee replacement patients,PAYM_90_HIP_KNEE,No Different than the National Average Payment,21981,0.4,Value of Care hip/knee replacement measure,COMP_PAYM_90_HIP_KNEE,Average complications and average payment,,,
268,340143,Payment for pneumonia patients,PAYM_30_PN,Greater than the National Average Payment,18816,0.89,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Worse mortality and higher payment,,,
269,340144,Payment for heart attack patients,PAYM_30_AMI,No Different than the National Average Payment,22738,0.61,Value of Care Heart Attack measure,MORT_PAYM_30_AMI,Average mortality and average payment,,,
270,340144,Payment for heart failure patients,PAYM_30_HF,No Different than the National Average Payment,16321,0.85,Value of Care Heart Failure measure,MORT_PAYM_30_HF,Average mortality and average payment,,,
271,340144,Payment for hip/knee replacement patients,PAYM_90_HIP_KNEE,No Different than the National Average Payment,22845,0.51,Value of Care hip/knee replacement measure,COMP_PAYM_90_HIP_KNEE,Average complications and average payment,,,
272,340144,Payment for pneumonia patients,PAYM_30_PN,No Different than the National Average Payment,16139,0.48,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Average mortality and average payment,,,
273,340145,Payment for heart attack patients,PAYM_30_AMI,No Different than the National Average Payment,21354,0.37,Value of Care Heart Attack measure,MORT_PAYM_30_AMI,Average mortality and average payment,,,
274,340145,Payment for heart failure patients,PAYM_30_HF,No Different than the National Average Payment,15565,0.68,Value of Care Heart Failure measure,MORT_PAYM_30_HF,Average mortality and average payment,,,
275,340145,Payment for hip/knee replacement patients,PAYM_90_HIP_KNEE,No Different than the National Average Payment,21948,0.4,Value of Care hip/knee replacement measure,COMP_PAYM_90_HIP_KNEE,Average complications and average payment,,,
276,340145,Payment for pneumonia patients,PAYM_30_PN,No Different than the National Average Payment,17099,0.63,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Average mortality and average payment,,,
277,340147,Payment for heart attack patients,PAYM_30_AMI,No Different than the National Average Payment,23001,0.66,Value of Care Heart Attack measure,MORT_PAYM_30_AMI,Average mortality and average payment,,,
278,340147,Payment for heart failure patients,PAYM_30_HF,No Different than the National Average Payment,15492,0.66,Value of Care Heart Failure measure,MORT_PAYM_30_HF,Average mortality and average payment,,,
279,340147,Payment for hip/knee replacement patients,PAYM_90_HIP_KNEE,No Different than the National Average Payment,22645,0.48,Value of Care hip/knee replacement measure,COMP_PAYM_90_HIP_KNEE,Average complications and average payment,,,
280,340147,Payment for pneumonia patients,PAYM_30_PN,No Different than the National Average Payment,17540,0.69,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Worse mortality and average payment,,,
285,340151,Payment for heart attack patients,PAYM_30_AMI,No Different than the National Average Payment,22584,0.58,Value of Care Heart Attack measure,MORT_PAYM_30_AMI,Average mortality and average payment,,,
286,340151,Payment for heart failure patients,PAYM_30_HF,No Different than the National Average Payment,15254,0.6,Value of Care Heart Failure measure,MORT_PAYM_30_HF,Average mortality and average payment,,,
287,340151,Payment for hip/knee replacement patients,PAYM_90_HIP_KNEE,Less than the National Average Payment,19048,0.06,Value of Care hip/knee replacement measure,COMP_PAYM_90_HIP_KNEE,Average complications and lower payment,,,
288,340151,Payment for pneumonia patients,PAYM_30_PN,Less than the National Average Payment,15873,0.44,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Average mortality and lower payment,,,
289,340155,Payment for heart attack patients,PAYM_30_AMI,Less than the National Average Payment,20852,0.28,Value of Care Heart Attack measure,MORT_PAYM_30_AMI,Average mortality and lower payment,,,
290,340155,Payment for heart failure patients,PAYM_30_HF,Less than the National Average Payment,14514,0.43,Value of Care Heart Failure measure,MORT_PAYM_30_HF,Average mortality and lower payment,,,
291,340155,Payment for hip/knee replacement patients,PAYM_90_HIP_KNEE,Less than the National Average Payment,21045,0.29,Value of Care hip/knee replacement measure,COMP_PAYM_90_HIP_KNEE,Average complications and lower payment,,,
292,340155,Payment for pneumonia patients,PAYM_30_PN,Less than the National Average Payment,16141,0.48,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Average mortality and lower payment,,,
296,340156,Payment for pneumonia patients,PAYM_30_PN,No Different than the National Average Payment,14258,0.19,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Average mortality and average payment,,,
297,340158,Payment for heart attack patients,PAYM_30_AMI,No Different than the National Average Payment,23430,0.73,Value of Care Heart Attack measure,MORT_PAYM_30_AMI,Average mortality and average payment,,,
298,340158,Payment for heart failure patients,PAYM_30_HF,No Different than the National Average Payment,15920,0.76,Value of Care Heart Failure measure,MORT_PAYM_30_HF,Average mortality and average payment,,,
299,340158,Payment for hip/knee replacement patients,PAYM_90_HIP_KNEE,Less than the National Average Payment,20232,0.2,Value of Care hip/knee replacement measure,COMP_PAYM_90_HIP_KNEE,Average complications and lower payment,,,
300,340158,Payment for pneumonia patients,PAYM_30_PN,No Different than the National Average Payment,16694,0.57,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Average mortality and average payment,,,
302,340159,Payment for heart failure patients,PAYM_30_HF,No Different than the National Average Payment,16513,0.89,Value of Care Heart Failure measure,MORT_PAYM_30_HF,Average mortality and average payment,,,
303,340159,Payment for hip/knee replacement patients,PAYM_90_HIP_KNEE,Greater than the National Average Payment,25325,0.8,Value of Care hip/knee replacement measure,COMP_PAYM_90_HIP_KNEE,Average complications and higher payment,,,
304,340159,Payment for pneumonia patients,PAYM_30_PN,Less than the National Average Payment,15059,0.31,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Average mortality and lower payment,,,
305,340166,Payment for heart attack patients,PAYM_30_AMI,No Different than the National Average Payment,23421,0.73,Value of Care Heart Attack measure,MORT_PAYM_30_AMI,Average mortality and average payment,,,
306,340166,Payment for heart failure patients,PAYM_30_HF,No Different than the National Average Payment,15384,0.63,Value of Care Heart Failure measure,MORT_PAYM_30_HF,Average mortality and average payment,,,
307,340166,Payment for hip/knee replacement patients,PAYM_90_HIP_KNEE,No Different than the National Average Payment,21352,0.33,Value of Care hip/knee replacement measure,COMP_PAYM_90_HIP_KNEE,Average complications and average payment,,,
308,340166,Payment for pneumonia patients,PAYM_30_PN,No Different than the National Average Payment,18091,0.78,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Average mortality and average payment,,,
313,340171,Payment for heart attack patients,PAYM_30_AMI,Less than the National Average Payment,20361,0.19,Value of Care Heart Attack measure,MORT_PAYM_30_AMI,Average mortality and lower payment,,,
314,340171,Payment for heart failure patients,PAYM_30_HF,No Different than the National Average Payment,15788,0.73,Value of Care Heart Failure measure,MORT_PAYM_30_HF,Average mortality and average payment,,,
315,340171,Payment for hip/knee replacement patients,PAYM_90_HIP_KNEE,No Different than the National Average Payment,23224,0.55,Value of Care hip/knee replacement measure,COMP_PAYM_90_HIP_KNEE,Average complications and average payment,,,
316,340171,Payment for pneumonia patients,PAYM_30_PN,No Different than the National Average Payment,16506,0.54,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Average mortality and average payment,,,
317,340173,Payment for heart attack patients,PAYM_30_AMI,No Different than the National Average Payment,21588,0.41,Value of Care Heart Attack measure,MORT_PAYM_30_AMI,Average mortality and average payment,,,
318,340173,Payment for heart failure patients,PAYM_30_HF,No Different than the National Average Payment,15467,0.65,Value of Care Heart Failure measure,MORT_PAYM_30_HF,Average mortality and average payment,,,
319,340173,Payment for hip/knee replacement patients,PAYM_90_HIP_KNEE,Less than the National Average Payment,21487,0.34,Value of Care hip/knee replacement measure,COMP_PAYM_90_HIP_KNEE,Average complications and lower payment,,,
320,340173,Payment for pneumonia patients,PAYM_30_PN,No Different than the National Average Payment,16578,0.55,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Average mortality and average payment,,,
321,340183,Payment for heart attack patients,PAYM_30_AMI,No Different than the National Average Payment,22723,0.61,Value of Care Heart Attack measure,MORT_PAYM_30_AMI,Average mortality and average payment,,,
322,340183,Payment for heart failure patients,PAYM_30_HF,No Different than the National Average Payment,16106,0.8,Value of Care Heart Failure measure,MORT_PAYM_30_HF,Average mortality and average payment,,,
323,340183,Payment for hip/knee replacement patients,PAYM_90_HIP_KNEE,Less than the National Average Payment,20588,0.24,Value of Care hip/knee replacement measure,COMP_PAYM_90_HIP_KNEE,Average complications and lower payment,,,
324,340183,Payment for pneumonia patients,PAYM_30_PN,No Different than the National Average Payment,17519,0.69,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Average mortality and average payment,,,
325,340184,Payment for heart attack patients,PAYM_30_AMI,No Different than the National Average Payment,21776,0.44,Value of Care Heart Attack measure,MORT_PAYM_30_AMI,Average mortality and average payment,,,
326,340184,Payment for heart failure patients,PAYM_30_HF,No Different than the National Average Payment,15511,0.66,Value of Care Heart Failure measure,MORT_PAYM_30_HF,Average mortality and average payment,,,
327,340184,Payment for hip/knee replacement patients,PAYM_90_HIP_KNEE,Less than the National Average Payment,20110,0.18,Value of Care hip/knee replacement measure,COMP_PAYM_90_HIP_KNEE,Average complications and lower payment,,,
328,340184,Payment for pneumonia patients,PAYM_30_PN,Less than the National Average Payment,15571,0.39,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Average mortality and lower payment,,,
330,340186,Payment for heart failure patients,PAYM_30_HF,Less than the National Average Payment,13237,0.14,Value of Care Heart Failure measure,MORT_PAYM_30_HF,Average mortality and lower payment,,,
331,340186,Payment for hip/knee replacement patients,PAYM_90_HIP_KNEE,No Different than the National Average Payment,23897,0.63,Value of Care hip/knee replacement measure,COMP_PAYM_90_HIP_KNEE,Average complications and average payment,,,
332,340186,Payment for pneumonia patients,PAYM_30_PN,Less than the National Average Payment,15155,0.33,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Average mortality and lower payment,,,
340,340188,Payment for pneumonia patients,PAYM_30_PN,Less than the National Average Payment,13005,0,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Average mortality and lower payment,,,
352,341303,Payment for pneumonia patients,PAYM_30_PN,No Different than the National Average Payment,16765,0.58,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Average mortality and average payment,,,
354,341304,Payment for heart failure patients,PAYM_30_HF,No Different than the National Average Payment,15473,0.65,Value of Care Heart Failure measure,MORT_PAYM_30_HF,Average mortality and average payment,,,
356,341304,Payment for pneumonia patients,PAYM_30_PN,Less than the National Average Payment,14978,0.3,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Average mortality and lower payment,,,
358,341305,Payment for heart failure patients,PAYM_30_HF,No Different than the National Average Payment,14323,0.39,Value of Care Heart Failure measure,MORT_PAYM_30_HF,Average mortality and average payment,,,
360,341305,Payment for pneumonia patients,PAYM_30_PN,Less than the National Average Payment,14119,0.17,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Average mortality and lower payment,,,
