Name,EduScore,Hospital
"Gary M. Felker, MD",3,Duke University Hospital
"Karin Reed Minter, MD",3,Alamance Regional Medical Center
"Mark Robertshaw, MD",0,Duke University Hospital
"Matthew Stuart McKinney, MD",3,Durham Veterans Affairs Medical Center
"Katrina H Avery, MD",1,Duke University Hospital
"Jason E Stout, MD",0,Duke University Hospital
"Jared Dean Christensen, MD",3,Duke University Hospital
"Mays Antoine El-Dairi, MD",0,Duke Raleigh Hospital
"Burton Lasater Scott, MD",0,Duke Raleigh Hospital
"Matthew D Barber, MD",3,Duke University Hospital
"Joseph Thomas Davis, MD",0,Duke University Hospital
"Calvin Langston Toure Barnes, MD",3,Duke University Hospital
"Allan Friedman, MD",0,Duke Raleigh Hospital
"Gwendolen Buhr, MD",0,Duke University Hospital
"Robert Eric Isaacs, MD",2,Duke Raleigh Hospital
"Stephanie A Eucker, MD",3,Duke University Hospital
"Margaret Warden Maytan, MD",0,Duke University Hospital
"Barbara Sorenson Hulka, MD",3,Duke University Hospital
"Walter T Lee, MD",0,Duke University Hospital
"Vincent L Keipper, MD",2,Carolinas HealthCare System NorthEast
"Larry T Wilson, MD",0,Duke University Hospital
"William C. Eward, MD",0,Durham Veterans Affairs Medical Center
"Timothy J McMahon, MD",0,Durham Veterans Affairs Medical Center
"Andrew Krystal, MD",3,Duke University Hospital
"David Uri Lipsitz, MD",0,Carolinas HealthCare System NorthEast
"Caroline Hollingsworth, MD",0,Duke University Hospital
"Scott Lee Sailer, MD",0,WakeMed Raleigh Campus
"Takanori Fukushima, MD",2,Duke Raleigh Hospital
"Randall Paul Scheri, MD",1,Duke University Hospital
"James P Weaver, MD",0,Duke University Hospital
"Eugenie Marie Komives, MD",0,Duke University Hospital
"Steven Robert Olson, MD",1,Duke University Hospital
"Allan D. Kirk, MD",3,Duke University Hospital
"Charles Scott Brudney, MD",0,Durham Veterans Affairs Medical Center
"John Migaly, MD",2,Duke University Hospital
"Sabino Zani Jr., MD",3,Duke Regional Hospital
"Henry E Rice, MD",3,Duke University Hospital
"Bruce James Leone, MD",0,Duke University Hospital
"Sean Dobson, MD",0,Duke University Hospital
"Joshua Ryan Dooley, MD",2,Duke Regional Hospital
"Deborah Anne Fisher, MD",2,Duke University Hospital
"Gerald Anthony Maccioli, MD",0,Duke Raleigh Hospital
"Rachel C. Blitzblau, MD",0,Duke Raleigh Hospital
"Kevin Naresh Shah, MD",0,Duke University Hospital
"Vani Chilukuri, MD",3,Duke Regional Hospital
"Daniel Laskowitz, MD",3,Duke University Hospital
"Donald Schmechel, MD",0,Duke University Hospital
"Bruce P Capehart, MD",1,Durham Veterans Affairs Medical Center
"Bradley Kolls, MD",0,Duke University Hospital
"Laura Schanberg, MD",3,Duke University Hospital
"Patrick Thomas Hickey, DO",0,Duke University Hospital
"Scott A Strine, DO",0,Duke University Hospital
"Julian P. Yang, MD",1,University of Texas Southwestern Medical Center
"Andrew Robert Spector, MD",2,Duke Regional Hospital
"Sherry Ross, MD",1,Duke University Hospital
"Joshua Franklyn Smith, PA",0,Duke University Hospital
"Ryan Patrick Plichta, MD",0,Duke University Hospital
"Eduardo Mauricio Fraifeld, MD",0,Danville Regional Medical Center
"Thomas William Leblanc, MD",3,Duke University Hospital
"Carolyn Elizabeth Pizoli, MD",0,Duke University Hospital
"Francis Adan Castiller, MD",0,Duke University Hospital
"Sherry Ross, MD",1,Duke University Hospital
"Michael W. Manning, MD",0,Duke University Hospital
"Heather Jane (Mummery) Frederick, MD",3,Duke University Hospital
"Susan Steele, MD",0,Duke Raleigh Hospital
"Grace Chung-Yee McCarthy, MD",1,Duke University Hospital
"Amy Kantipong Manchester, MD",0,Duke University Hospital
"John Kirkpatrick, MD",0,Duke Raleigh Hospital
"Jennifer G Vick, MD",0,WakeMed Raleigh Campus
"James P. Hooten, MD",1,Alamance Regional Medical Center
"Ryan Patrick Plichta, MD",0,Duke University Hospital
"Scott A Strine, DO",0,Duke University Hospital
"Patrick Thomas Hickey, DO",0,Duke University Hospital
"Julian P. Yang, MD",1,University of Texas Southwestern Medical Center
"Andrew Robert Spector, MD",2,Duke Regional Hospital
"Jeffrey Talbot Guptill, MD",3,Duke University Hospital
"Carolyn Elizabeth Pizoli, MD",0,Duke University Hospital
"Douglas G Kelling Jr., MD",0,Carolinas HealthCare System NorthEast
"Lauren Shenk Miller, MD",1,Duke University Hospital
"Sonali Bracken, MD",0,Duke University Hospital
"Amera Anwar Rahmatullah, MD",0,Duke University Hospital
Sarah Elizabeth Roberson,0,Duke University Hospital
"Elizabeth Jaclyn Thompson, MD",0,Duke University Hospital
Eric Andrew Reyer,3,Duke Raleigh Hospital
"Lauren Shenk Miller, MD",1,Duke University Hospital
"Samuel S Weir, MD",3,Duke University Hospital
"Franklin Lee Tolbert, MD",0,Duke University Hospital
"Dan Blazer, MD",3,Durham Veterans Affairs Medical Center
"Charles Douglas Scales Jr., MD",3,Duke University Hospital
"Kristen Grace Shirey, MD",1,Duke University Hospital
"Timothy O'Donnell, MD",0,Duke University Hospital
Allison Walp Dimsdale,3,Duke University Hospital
"Priya Kishnani, MD",0,Duke University Hospital
"Samuel E Britt II, MD",0,Southeastern Health
"Mary Elizabeth Price, MD",0,Duke University Hospital
"Caroline Lillian Rao, MD",1,Duke University Hospital
"Alexandre W Huin, MD",0,Duke University Hospital
"Bertram J Stemmler, MD",1,Saint Alphonsus Medical Center - Nampa
"Kevin W Carroll, MD",0,Lake Norman Regional Medical Center
"Scott Cousins, MD",2,Duke Raleigh Hospital
"Jeffrey Arthur Dvergsten, MD",0,Duke University Hospital
"Kyle J Rehder, MD",1,Duke University Hospital
"Viviana Sandra Martinez-Bianchi, MD",0,Duke University Hospital
"Daniel M Wild, MD",0,Duke University Hospital
"Claude Shreve Burton, MD",3,Duke University Hospital
"Thomas J. Schermerhorn, MD",0,Alamance Regional Medical Center
"Anne F Buckley, MD",3,Duke University Hospital
"Piers Barker, MD",2,Duke Regional Hospital
"Sandeep Sharad Gavankar, DO",0,Duke University Hospital
"Kevin P Speer, MD",3,Duke Raleigh Hospital
"Anna Mae Eliza Diehl, MD",0,Duke Regional Hospital
"Ann Marie Buchanan, MD",0,Duke University Hospital
"Ashley L Sherwood, MD",0,University of North Carolina Hospitals
"Sasapin Grace Prakalapakorn, MD",2,Duke University Hospital
"Melissa Marie Garrett, MD",1,Duke Regional Hospital
"Leonard Lobo, MD",1,Duke University Hospital
"Caroline E (Eady) Freiermuth, MD",0,Duke University Hospital
"Sarah Lisanby, MD",3,Duke University Hospital
"Frauke C Schaefer, MD",0,Duke University Hospital
"Lauren Elizabeth Siewny, MD",0,Duke University Hospital
"Christopher P. Manik, MD",3,Duke University Hospital
"Stephen Telloni, MD",1,Duke Regional Hospital
"Stephen Bergin, MD",0,Duke University Hospital
"Leron C Jackson, MD",2,Duke University Hospital
"Samuel Fisher, MD",3,Duke University Hospital
"Rex McCallum, MD",2,Duke University Hospital
"Dennis Abraham, MD",0,Durham Veterans Affairs Medical Center
"James A. Heinsimer, MD",0,Beaumont Hospital - Royal Oak
"Geoffrey Stuart Pitt, MD",3,Duke University Hospital
"Michael H Sketch, MD",0,Duke University Hospital
"Landon Carter Brown, MD",3,Duke University Hospital
"Eric Postel, MD",0,Duke Raleigh Hospital
"Kenneth Wayne Jordan, MD",0,Duke University Hospital
"Cynthia A Moylan, MD",0,Duke University Hospital
Margaret M Harding,0,Duke University Hospital
"Sameer Kamath, MD",0,Duke University Hospital
"Melissa Teitelman, MD",3,Duke Regional Hospital
"Gregg Martin Stave, MD",3,Duke University Hospital
"L. Ebony Boulware, MD",3,Duke University Hospital
"William Michael Hart, MD",0,Duke University Hospital
"Kelli Rachel Brooks, MD",3,Duke University Hospital
"Thomas Zander Hayward III, MD",2,Duke University Hospital
"Oren Josh Becher, MD",3,Duke University Hospital
"Jenny Hoang, MD",0,Duke University Hospital
"Nancy Tribley Livingston, MD",3,Duke University Hospital
"Sara Ahmadi, MD",0,Duke Raleigh Hospital
"Corinne M Linardic, MD",3,Duke University Hospital
"Robert Ellis Reiman, MD",2,Duke University Hospital
"Krishan Sumit Angrish, DO",0,Duke University Hospital
"Nathan Alexander Gray, MD",1,Duke University Hospital
"Daniel Edmonston, MD",0,Duke University Hospital
"Stephen D. DeMeo, DO",0,WakeMed Raleigh Campus
"Christina Eleanor Barkauskas, MD",3,Duke University Hospital
"Melissa B (Moncavage) Daluvoy, MD",0,Duke University Hospital
"Devon Wayne Paul, MD",0,Duke University Hospital
"Carolyn Sears Avery, MD",3,Duke University Hospital
"Christopher Willett, MD",0,Duke Raleigh Hospital
"Jennifer Rowell, MD",0,Duke University Hospital
"David C Steffens, MD",0,Duke University Hospital
"Kenneth E Schmader, MD",0,Duke University Hospital
"Nicole A Larrier, MD",3,Duke Raleigh Hospital
"Sarah A Myers, MD",3,Duke University Hospital
"Vickie F Ingledue, MD",3,Duke University Hospital
"Cindy Amundsen, MD",0,Duke Raleigh Hospital
"Quintin Jose Quinones, MD",3,Duke University Hospital
"Harry Phillips, MD",3,Duke University Hospital
"Victor Saml Behar, MD",3,Duke University Hospital
"Deepak Voora, MD",2,Central Carolina Hospital
"Joseph Govert, MD",0,Duke University Hospital
"Lazaro Gonzales Jr., PA",0,Duke Raleigh Hospital
"David Vanmater, MD",2,Duke University Hospital
"Thomas Charles Hogue, MD",0,MedStar Washington Hospital Center
"Clark R Denniston, MD",0,University of North Carolina Hospitals
"Robert Cheatham Vogler, MD",1,Duke Raleigh Hospital
"Kevin Schulman, MD",2,Duke University Hospital
"Kimberly Johnson, MD",3,Duke University Hospital
"Sharon Freedman, MD",3,Duke University Hospital
"David Tanaka, MD",3,Duke University Hospital
"Harbax Tina Kaur Singh, MD",0,Duke Raleigh Hospital
"Joseph Rutherfor Plaksin, MD",3,Duke University Hospital
"David A. Williams, MD",0,Duke University Hospital
"Narayanan Venkatasubramani, MD",0,Duke University Hospital
"William Tucker Cline, MD",3,Duke Raleigh Hospital
"Lisa C Muasher, MD",0,Duke University Hospital
"Maria E Arias, MD",0,Northside Hospital
"Michael I Seider, MD",0,Duke University Hospital
"Jatin Anand, MD",0,Duke University Hospital
"Margaret Alycia Hassett, MD",3,Duke University Hospital
"Dorothy Sipkins, MD",3,Duke University Hospital
"Sydney Glen Short, MD",0,Duke University Hospital
"Jane Sanders Bellet, MD",0,Duke University Hospital
"Kathleen Anne Havlin, MD",2,Duke Raleigh Hospital
"Robert K. Lark, MD",1,Duke University Hospital
"Samuel L Katz, MD",0,Duke University Hospital
"Amy J Walsh, MD",0,UNC REX Healthcare
"Brett H Foreman, MD",0,Duke University Hospital
"Gregory Wayne Taylor, MD",0,Duke University Hospital
"Anna R Terry, MD",3,Duke Raleigh Hospital
"Patrick C Seed, MD",1,Duke University Hospital
"John Freiberger, MD",1,Duke University Hospital
"Nancy C Andrews, MD",0,Duke University Hospital
"John B Anderson, MD",0,Duke University Hospital
"Andrei Cocieru, MD",0,Duke University Hospital
"Jennifer L. Garst, MD",0,Duke Raleigh Hospital
"Kenneth A. Fath, MD",1,Alamance Regional Medical Center
"Alison Weidner, MD",3,Duke Raleigh Hospital
"Ricardo Miguel Santaella, MD",2,Duke University Hospital
"Wilfredo Rodriguez-Falcon, MD",0,Cape Fear Valley Medical Center
"Rhett Kendall Hallows, MD",0,Duke University Hospital
"William A Sayles, MD",0,Duke University Hospital
"Usha P Reddy, MD",0,J. Arthur Dosher Memorial Hospital
"Scott Schulman, MD",0,Duke University Hospital
"William Lee Hall, MD",3,Duke University Hospital
"Fatima Abdulla Rangwala, MD",0,Duke University Hospital
"Srobona Tublu Chatterjee, MD",0,Duke University Hospital
"Mehri Sadri McKellar, MD",0,Duke University Hospital
"Tauseef G Syed, MD",0,Alamance Regional Medical Center
"Wei Jiang, MD",0,Duke University Hospital
"Salvatore C Lettieri, MD",2,Maricopa Integrated Health System
"Henry Newton Pleasant Jr., MD",0,Duke University Hospital
"John R Guyton, MD",0,Duke University Hospital
"Dean A Bramlet, MD",0,Palms of Pasadena Hospital
"David A Turner, MD",2,Duke University Hospital
"John P Barletta, MD",3,Duke University Hospital
"Peter G. Kramer, DO",0,New Hanover Regional Medical Center
"Maureen P Andreassi, MD",0,Alamance Regional Medical Center
"Julia Song, MD",2,Los Alamitos Medical Center
"James P Theofrastous, MD",0,Mission Hospital
"Ranjan Sudan, MD",0,Duke University Hospital
"Pratap Challa, MD",0,Duke Raleigh Hospital
"Neil L Spector, MD",0,Duke University Hospital
"Vandana Shashi, MD",0,Duke University Hospital
"Margarita Bidegain, MD",0,Duke University Hospital
"David Butterly, MD",3,Duke University Hospital
"Eileen Margolies Raynor, MD",1,Baptist Medical Center Jacksonville
"David H Harpole, MD",1,Duke University Hospital
"Ruediger Lehrich, MD",0,Duke University Hospital
"Dana J Wallace, MD",3,Erlanger Medical Center
"Daniel B. Haithcock, MD",2,Coliseum Medical Centers
"Brian Ginsberg, MD",0,Duke University Hospital
"Susan R. Andersen, MD",0,Carolinas HealthCare System NorthEast
"William Steinbach, MD",1,Duke University Hospital
"David Zaas, MD",2,Duke University Hospital
"Timothy P Donahue, MD",0,Duke University Hospital
"Craig Ray Rackley, MD",0,Durham Veterans Affairs Medical Center
"Russell Pritchett Hall III, MD",0,Duke University Hospital
"Melvin Ray Echols, MD",1,Duke University Hospital
"L. Kristin Newby, MD",0,Duke University Hospital
"Robin R Vann, MD",0,Duke Raleigh Hospital
"Joseph Kamel Salama, MD",2,Duke Raleigh Hospital
"Marvaretta Miesha Stevenson, MD",0,Duke University Hospital
"Alexander Christopher Allori, MD",0,Duke University Hospital
"Jasna S. Nogo, MD",0,Alamance Regional Medical Center
"Charles Warren Lapp, MD",0,Duke University Hospital
"Karan Kumar, MD",3,Duke University Hospital
"Nancy M. McGreal, MD",0,Duke University Hospital
"Laura Williams Musselwhite, MD",3,Duke University Hospital
"Eileen K Maziarz, MD",0,Duke University Hospital
"Edward Evans, MD",0,Duke University Hospital
"Michelle Lorraine Rivera, MD",0,Lake Norman Regional Medical Center
"Eric Neal Horowitz, MD",0,Boston Children's Hospital
"Douglas Charles McCrory, MD",0,Duke University Hospital
"Thomas Bashore, MD",1,Duke University Hospital
"Matthew Caldwell, MD",0,Duke University Hospital
"Aparna B Vaikunth, MD",0,Duke University Hospital
"Robert D Zura, MD",3,Duke University Hospital
"Karen Ama-Serwa Chachu, MD",3,Duke University Hospital
"Mohamad Ag Mikati, MD",0,Duke University Hospital
"Xiang Wang, MD",0,WakeMed Raleigh Campus
"Adrian Hernandez, MD",1,Duke University Hospital
"Serina E Floyd, MD",1,Duke University Hospital
"Arif H Kamal, MD",3,Duke University Hospital
"Mina Choi, MD",3,Duke Regional Hospital
"Charles Gerardo, MD",0,Duke Raleigh Hospital
"John T Soper, MD",3,UNC REX Healthcare
"David R Theil, MD",0,Saint Joseph Hospital
"Jordan Daniel Awerbach, MD",0,Duke University Hospital
"Amy Marie Rice, MD",0,Duke University Hospital
"Lina Maria Vargas, MD",0,Duke University Hospital
"Kristy Mckiernan Borawski, MD",0,Duke University Hospital
"Daniel S Wechsler, MD",0,Duke University Hospital
"Mahfuzul Haque, MD",0,Duke University Hospital
"M Stephen Melton, MD",0,Duke University Hospital
"Jonathan Charles Riboh, MD",3,Duke Regional Hospital
"Kyne Martin Wang, MD",2,Duke Regional Hospital
"David Bruce Matchar, MD",0,Duke University Hospital
"Charles Carroll Thomas II, MD",1,Angel Medical Center
"Claude H Springfield, MD",0,Duke University Hospital
"Gary M. Felker, MD",3,Duke University Hospital
"Karin Reed Minter, MD",3,Alamance Regional Medical Center
"Bhakti Bipin (Gogri) Paul, MD",0,Alamance Regional Medical Center
"Matthew Janik Crowley, MD",1,Duke University Hospital
"Janet K. Horton, MD",0,Duke Raleigh Hospital
"Richard Francis Riedel, MD",0,Duke University Hospital
"Brandt Thomas Wood, DO",0,Cape Fear Valley Medical Center
"Edward F Hendershot, MD",0,Duke University Hospital
"James R Urbaniak, MD",3,Duke University Hospital
"Gayle Ackerman DiLalla, MD",0,Duke Raleigh Hospital
"Lawrence B Marks, MD",1,Harnett Health System
"Margaret Warden Maytan, MD",0,Duke University Hospital
"Seth B Hayes, MD",0,Duke University Hospital
"Barbara Sorenson Hulka, MD",3,Duke University Hospital
"Stephanie A Eucker, MD",3,Duke University Hospital
"Allan Friedman, MD",0,Duke Raleigh Hospital
"Gwendolen Buhr, MD",0,Duke University Hospital
"Scott D Moore, MD",3,Durham Veterans Affairs Medical Center
"Peter E Fecci, MD",3,Duke Regional Hospital
"Shelley R McDonald, DO",0,Duke Regional Hospital
"Andrew Krystal, MD",3,Duke University Hospital
"Kevin Naresh Shah, MD",0,Duke University Hospital
"Hilary N Hawkins, MD",1,Duke Raleigh Hospital
"Michael Lucas James, MD",0,Durham Veterans Affairs Medical Center
"Karthik Raghunathan, MD",0,Duke University Hospital
"Joseph Mathew, MD",3,Duke Regional Hospital
"Gerald Anthony Maccioli, MD",0,Duke Raleigh Hospital
"Phillip Price Shadduck, MD",2,Duke Regional Hospital
"Richard L. Boortz-Marx, MD",2,University of North Carolina Hospitals
"Mark Newman, MD",0,Duke University Hospital
"Sabino Zani Jr., MD",3,Duke Regional Hospital
"Bruce James Leone, MD",0,Duke University Hospital
"John Migaly, MD",2,Duke University Hospital
"Karen Mann, MD",0,Emory University Hospital
"John Kirkpatrick, MD",0,Duke Raleigh Hospital
"Henry E Rice, MD",3,Duke University Hospital
"Allan D. Kirk, MD",3,Duke University Hospital
"Charles Scott Brudney, MD",0,Durham Veterans Affairs Medical Center
"Heather Jane (Mummery) Frederick, MD",3,Duke University Hospital
"Michael W. Manning, MD",0,Duke University Hospital
"Susan Steele, MD",0,Duke Raleigh Hospital
"Grace Chung-Yee McCarthy, MD",1,Duke University Hospital
"Amy Kantipong Manchester, MD",0,Duke University Hospital
"Joshua Ryan Dooley, MD",2,Duke Regional Hospital
"Sean Dobson, MD",0,Duke University Hospital
"Vincent L Keipper, MD",2,Carolinas HealthCare System NorthEast
"William C. Eward, MD",0,Durham Veterans Affairs Medical Center
"James P. Hooten, MD",1,Alamance Regional Medical Center
"Jeffrey Talbot Guptill, MD",3,Duke University Hospital
"Patrick Thomas Hickey, DO",0,Duke University Hospital
"Scott A Strine, DO",0,Duke University Hospital
"Julian P. Yang, MD",1,University of Texas Southwestern Medical Center
"Andrew Robert Spector, MD",2,Duke Regional Hospital
"Sherry Ross, MD",1,Duke University Hospital
"Joshua Franklyn Smith, PA",0,Duke University Hospital
"Ryan Patrick Plichta, MD",0,Duke University Hospital
"Eduardo Mauricio Fraifeld, MD",0,Danville Regional Medical Center
"Thomas William Leblanc, MD",3,Duke University Hospital
"Carolyn Elizabeth Pizoli, MD",0,Duke University Hospital
"John J Paat, MD",0,Duke University Hospital
"Madhavi Reddy, MD",0,Duke University Hospital
"Muhammad Arida, MD",0,Morehead Memorial Hospital
"Jeffrey A Kuller, MD",0,Duke Raleigh Hospital
"Mark Skeen, MD",0,Duke University Hospital
"Timothy Miller Jr., MD",0,Duke University Hospital
"Obinna O Adibe, MD",0,Duke University Hospital
"Deborah Anne Fisher, MD",2,Duke University Hospital
"Karl R Bernat, MD",0,Duke University Hospital
"Beat Daniel Steiner, MD",1,Duke University Hospital
"Ralph Abi Hachem, MD",0,Duke University Hospital
"Yuriy S Bronshteyn, MD",2,Duke University Hospital
"Harold W. Goforth, MD",0,Durham Veterans Affairs Medical Center
"Ronald J Prucha Jr., MD",0,Duke University Hospital
"Jennifer H Choe, MD",3,Duke University Hospital
"Rex J Moody, MD",1,University of North Carolina Hospitals
Allison Walp Dimsdale,3,Duke University Hospital
"Dan Blazer, MD",3,Durham Veterans Affairs Medical Center
"Karen Louise Bash, MD",2,WakeMed Raleigh Campus
"Sonali Bracken, MD",0,Duke University Hospital
"Amera Anwar Rahmatullah, MD",0,Duke University Hospital
Sarah Elizabeth Roberson,0,Duke University Hospital
"Elizabeth Jaclyn Thompson, MD",0,Duke University Hospital
Eric Andrew Reyer,3,Duke Raleigh Hospital
"Lauren Shenk Miller, MD",1,Duke University Hospital
"Nicholas Bird, MD",0,Duke University Hospital
"Dean L Maynard, MD",0,Duke University Hospital
"K. Michael Duerr, MD",0,Duke University Hospital
"David N. Thies, MD",2,Alamance Regional Medical Center
"Bert J. Klein III, MD",0,Alamance Regional Medical Center
"Jennifer L. Turi, MD",0,Duke University Hospital
"Rex Bentley, MD",0,Duke University Hospital
"David M Brizel, MD",2,Duke University Hospital
"Joshua Broder, MD",3,Duke University Hospital
"Philip F Sparling, MD",0,University of North Carolina Hospitals
"Kimberley J. J. Evans, MD",0,Duke University Hospital
"Bryant W Stolp, MD",1,Duke University Hospital
"Margaret Williford, MD",3,Duke University Hospital
"Peter Dwane, MD",0,Duke University Hospital
"Elizabeth Landolfo, MD",0,Duke University Hospital
"Kerri Margret Wahl, MD",0,Duke University Hospital
"Mitchell Heflin, MD",1,Duke University Hospital
"Craig Hoffmeier, MD",0,Duke University Hospital
"Debra Best, MD",2,Duke University Hospital
"Susan Owens, MD",0,Duke University Hospital
"Brandi Bottiger, MD",0,Duke University Hospital
"Xavier A.R. Preud'Homme, MD",0,Duke University Hospital
"Richard Adam Leder, MD",0,Duke University Hospital
"Sarah Ann (Baroody) Reed, PA",0,Duke University Hospital
"Daniel Crummett, MD",0,Duke University Hospital
"Joseph Brogan, MD",0,Duke University Hospital
"Nicole P Kerner, MD",0,Duke University Hospital
"Peter George Kranz, MD",1,Duke University Hospital
"Noah Sylvan Kalman, MD",3,Duke University Hospital
Alicia Granados,0,Duke University Hospital
"Brendan Christopher Cline, MD",0,Duke University Hospital
"Julia Lunsford, MD",1,Duke University Hospital
"Leonid Shapiro, MD",3,Duke University Hospital
"Cara O'Brien, MD",3,Duke University Hospital
"Marion E Morrison, MD",0,Duke University Hospital
"Donna E (Kozee) Sharpe, MD",2,Duke Regional Hospital
"Maria De Los Angeles Fritock, MD",2,Duke University Hospital
"Rami Abdo, MD",0,Duke University Hospital
"Gerard Patrick Shepherd, PA",0,Duke University Hospital
"Cynthia Guy, MD",0,Duke University Hospital
"Anne Ruth Nedrow, MD",0,Duke University Hospital
"Warren Anderson Kinghorn, MD",0,Durham Veterans Affairs Medical Center
"Carol A Hahn, MD",0,Duke University Hospital
"Susan Gail Kreissman, MD",2,Duke University Hospital
"Beatriz Morris, MD",0,Duke University Hospital
"Eric Bryan England, MD",0,Duke University Hospital
"Sharrah Ericka Jenkins, MD",0,Duke University Hospital
"Marc Calabrese, DO",0,Duke Raleigh Hospital
"Shannon Jones McCall, MD",3,Duke University Hospital
"Justus Erasmus Roos, MD",0,Duke University Hospital
"James Stanley Howard, MD",0,Duke University Hospital
"William E Kraus, MD",3,Duke University Hospital
"Francis J Miller Jr., MD",0,Duke University Hospital
"Rajesh Dash, MD",0,Duke University Hospital
"James Alspaugh, MD",3,Duke University Hospital
"Suhail Mithani, MD",2,Duke Raleigh Hospital
"Ahmad Mahmood, MD",0,Duke University Hospital
"Peter Mannon, MD",0,UAB Highlands
"Samuel David Moon, MD",0,Duke University Hospital
"Mehul Vipul Mankad, MD",2,Durham Veterans Affairs Medical Center
"Jayanth R Doss, MD",0,Duke University Hospital
"Margeva Morris Cole, MD",0,Duke University Hospital
"Madhav Swaminathan, MD",3,Duke University Hospital
"Monica Denise Barnes-Durity, MD",0,Duke University Hospital
"Don C Rockey, MD",0,Duke University Hospital
"Gabriela Muriel Maradiaga Panayotti, MD",0,Duke University Hospital
"Lawrence Liao, MD",3,Duke Raleigh Hospital
"Christopher Kontos, MD",0,Duke University Hospital
"J. Matthew Brennan, MD",0,Duke Regional Hospital
"Luke Alexander Gatta, MD",0,Duke University Hospital
"David Ranney, MD",2,Duke University Hospital
"Ankoor Shah, MD",0,Duke Regional Hospital
"Kristin M Page-Chartrand, MD",0,Duke University Hospital
"Sharon K. Hull, MD",0,Duke University Hospital
"Edward W Cooner, MD",0,Duke Regional Hospital
"Joseph Stavas, MD",0,University of North Carolina Hospitals
"Ali Saadi, MD",3,Duke University Hospital
"Daniel Ostrovsky, MD",0,Duke University Hospital
"Kamran Mahmood, MD",0,Duke University Hospital
"Mark Andrew Messick, MD",0,Duke University Hospital
"Anna Bjornsdottir, MD",0,Duke University Hospital
"Christopher Mark Nieman, MD",1,Cleveland Clinic
"Rajesh Dash, MD",0,Duke University Hospital
"Diana McNeill, MD",3,Duke University Hospital
Evan S Frasure III,0,Duke University Hospital
"Raymond C Barfield, MD",0,Duke University Hospital
"Michael Scott Freemark, MD",3,Duke Regional Hospital
"Steven Taylor Szabo, MD",0,Duke University Hospital
"Eric Weston Sankey, MD",3,Duke University Hospital
"Ramsey Khair Kilani, MD",0,Duke University Hospital
"Junzo Paul Chino, MD",0,Duke Raleigh Hospital
"John T McElveen Jr., MD",1,Duke Raleigh Hospital
"Cary Robertson, MD",0,Duke University Hospital
"Sherman W Reeves, MD",3,Abbott Northwestern Hospital
"Sean P Scully, MD",1,Onslow Memorial Hospital
"David Sterken, MD",3,Duke University Hospital
"Christopher James Hostler, MD",3,Duke University Hospital
"Suhail Mithani, MD",2,Duke Raleigh Hospital
"James Alspaugh, MD",3,Duke University Hospital
"Ahmad Mahmood, MD",0,Duke University Hospital
"Raymond C Barfield, MD",0,Duke University Hospital
"Michelle Collins Ogle, MD",0,Maria Parham Medical Center
"Richard Charles Mather III, MD",3,Duke University Hospital
"John Carroll Murray, MD",3,Duke University Hospital
"Richard T. Ferro, MD",0,Duke University Hospital
"Erika A. Steinbacher, MD",1,Carolinas Medical Center
"Jessica Poisson, MD",1,Duke University Hospital
"Justin Richard Scruggs, MD",0,Duke University Hospital
"Roger Lee Seagle Sr., MD",0,Grace Hospital
"Mark N. Feinglos, MD",0,Duke Regional Hospital
"Vinod Kumar Prasad, MD",0,Duke University Hospital
"Andrew J Lodge, MD",3,Duke University Hospital
"Roger Lee Seagle Sr., MD",0,Grace Hospital
"Mark E. Leithe, MD",1,Duke Raleigh Hospital
"David E Attarian, MD",3,Duke Regional Hospital
"Ilya M Leyngold, MD",3,Duke University Hospital
"Eric Michael Janis, MD",3,Harnett Health System
"Stephen N Lang, MD",0,Duke University Hospital
"John T McElveen Jr., MD",1,Duke Raleigh Hospital
"Lloyd A Hey, MD",0,Duke Raleigh Hospital
"Robert E Lins, MD",2,Palms West Hospital
"Susanna Naggie, MD",3,Duke University Hospital
"Andrew J Lodge, MD",3,Duke University Hospital
"Mark E. Leithe, MD",1,Duke Raleigh Hospital
"Jonathan Stiber, MD",2,Duke University Hospital
"Stephen N Lang, MD",0,Duke University Hospital
"Paul Marcom, MD",2,Duke University Hospital
"David E Attarian, MD",3,Duke Regional Hospital
"Manal F Abdelmalek, MD",2,Duke University Hospital
"Ernesto J F Graham, MD",2,Cape Fear Valley Medical Center
"Alison P Toth, MD",3,Duke University Hospital
"Jane Vy Trinh, MD",3,Duke University Hospital
"Douglas B Macha, MD",0,Texas Spine & Joint Hospital
"David M. Steinberg, MD",0,Duke University Hospital
"Ellen L Jones, MD",1,Harnett Health System
"Timothy Ryan Heacock, MD",2,Duke University Hospital
"Dan Chaksupa, MD",0,UNC REX Healthcare
"Thomas Koinis, MD",2,Duke University Hospital
"Howard Levinson, MD",0,Duke Raleigh Hospital
"James L Kesler, MD",3,New Hanover Regional Medical Center
"Andrew Bonin, MD",3,Duke University Hospital
"Thomas Holland, MD",0,Duke University Hospital
"James G Blount, MD",0,Duke University Hospital
"Justin P Favaro, MD",0,Novant Health Presbyterian Medical Center
"Henry Tseng, MD",3,Duke Raleigh Hospital
"Ellen D Dillavou, MD",0,Duke Regional Hospital
"Alfonso Torquati, MD",0,Duke University Hospital
"Carlton D Miller, MD",1,Duke Regional Hospital
"Albert Y Sun, MD",0,Duke University Hospital
